item_id,cost,item_type
pro_rjzo5qaoz7,13.45,bottled cold brew black unsweetened
pro_d0g92uog1i,8.64,bottled cold brew black unsweetened frappuccino
pro_35m6btv8zc,24.16,bottled cold brew cocoa and honey with cream
pro_u2auecz198,17.75,bottled cold brew cocoa and honey with cream frappuccino
pro_uwbecivt9d,9.05,bottled cold brew coffee
pro_75ooq39mf4,13.66,bottled cold brew coffee with milk
pro_tptbp8s958,23.52,bottled cold brew vanilla and fig with cream
pro_d6f5cuzg5o,14.46,bottled cold brew vanilla and fig with cream frappuccino
pro_dqrqna6q54,6.79,bottled cold foam cascara nitro
pro_0q3fkf3rd5,7.64,bottled cordusio
pro_ic0c09mhnz,29.95,bottled doubleshot coffee smoothie dark chocolate
pro_2cxon4kzay,15.7,bottled doubleshot coffee smoothie vanilla honey
pro_u7cgk4zwps,20.9,bottled doubleshot energy coffee drink
pro_tjvwhmmg2i,20.48,bottled doubleshot energy hazelnut drink
pro_zf62s5uq7s,9.15,bottled doubleshot energy mexican mocha
pro_k9ww78qm5q,14.97,bottled doubleshot energy mocha drink
pro_f9ycorjeua,22.86,bottled doubleshot energy vanilla drink
pro_y27ss9l5va,15.62,bottled doubleshot energy white chocolate drink
pro_axm16zqy5b,19.73,bottled doubleshot espresso cubano
pro_3nmki9vd4a,14.27,bottled doubleshot espresso drink
pro_sil7kqqpwl,11.63,bottled doubleshot espresso salted caramel cream
pro_ws5aoxzxjf,5.47,bottled doubleshot light espresso drink
pro_b7rxlxhayj,15.61,bottled doubleshot on ice beverage
pro_9g2z8556rv,14.91,bottled doubleshot protein caramel
pro_owmvv2cs9f,16.51,bottled doubleshot protein dark chocolate
pro_n14zfcicq0,5.16,bottled doubleshot protein vanilla
pro_ndhkv65xb4,17.93,bottled dulce de leche frappuccino coffee drink
pro_gulcpvknmp,7.95,bottled eggnog latte
pro_1grorkkqfe,17.41,bottled espresso
pro_6ui6etw7p0,13.55,bottled espresso con panna
pro_dotep7n0b2,6.09,bottled espresso macchiato
pro_e1b7cvzed6,9.14,bottled evolution fresh orange
pro_qhmz80730y,11.45,bottled evolution fresh organic defense up
pro_2xqbpcwgxh,10.83,bottled evolution fresh organic green devotion
pro_uq0ly439vo,20.09,bottled evolution fresh organic strawberry lemonade
pro_w78t21i5hm,6.1,bottled evolution fresh organic super fruit greens
pro_7ykxd89b3f,16.09,bottled evolution fresh watermelon
pro_gmtex7wizz,25.41,bottled flat white
pro_r9qef74tlk,12.14,bottled foam cascara cold brew
pro_3nuw9ec51d,20.12,bottled frappuccino coffee drink
pro_z4jlqhkh3s,28.06,bottled galvanina sparkling water
pro_rhpzugbudz,24.71,bottled galvanina sparkling water lime
pro_ukll1nt2j0,25.78,bottled gingerbread latte
pro_69qzhf5f1r,15.95,bottled juniper latte
pro_fjmn65qqaa,7.09,bottled latte macchiato
pro_xtkyz81rjz,17.17,bottled low calorie iced coffee milk
pro_r7u91qiwyz,6.82,bottled mango dragonfruit lemonade refreshers beverage
pro_vran2ooqq0,17.43,bottled mango dragonfruit refreshers beverage
pro_4paof5pfkk,17.43,bottled mocha frappuccino coffee drink
pro_yksajf4pek,25.43,bottled mocha light frappuccino coffee drink
pro_elnjctnzys,18.66,bottled nitro cold brew
pro_pff6j0vq2b,7.52,bottled nitro cold brew with sweet cream
pro_xx71otygzg,16.42,bottled nitro lemon fog
pro_9vl2v8ziha,23.31,bottled peppermint mocha
pro_1t0obnkbf0,7.61,bottled peppermint white chocolate mocha
pro_hfr1vgpi8d,17.25,bottled pink drink
pro_mko8zees8l,17.62,bottled pumpkin spice chai tea latte
pro_7xox5n4e93,28.28,bottled pumpkin spice latte
pro_n7aa0klgu6,24.43,bottled salted caramel mocha
pro_34n483eaxy,11.11,bottled shaken sweet tea
pro_4jq71ws1tm,25.19,bottled skinny mocha
pro_lod691ufc1,15.72,bottled smores frappuccino coffee drink
pro_l4wdveln3w,17.47,bottled strawberry acai lemonade refreshers
pro_7vct1rg7l7,14.25,bottled strawberry acai refreshers beverage
pro_u7o3irqtb9,7.27,bottled teavana mango black tea
pro_b5ytaxx5nj,29.75,bottled teavana peach green tea
pro_3h6r3pt88i,7.16,bottled teavana pineapple berry iced tea
pro_i45n9g50hp,7.09,bottled teavana shaken iced black tea
pro_uhmbdd49qf,7.99,bottled teavana shaken iced black tea lemonade
pro_cbmxww726z,11.92,bottled teavana shaken iced green tea
pro_qlxfwjbwd9,18.63,bottled teavana shaken iced green tea lemonade
pro_5mounfw7s4,24.36,bottled teavana shaken iced passion tango tea
pro_4so5vyev6n,24.09,bottled teavana shaken iced passion tango tea lemonade
pro_r38v5s06ej,17.55,bottled teavana shaken iced pia colada tea infusion
pro_gkp4r10dqb,26.14,bottled teavana shaken peach citrus white tea infusion
pro_3k64u1fuzg,5.53,bottled teavana shaken peach citrus white tea infusion lemonade
pro_izg1bhaw9f,6.01,bottled teavana shaken pineapple black tea infusion
pro_oo0sbhkvus,21.15,bottled teavana shaken pineapple black tea infusion lemonade
pro_nhf5wedkbn,16.62,bottled teavana shaken strawberry green tea infusion
pro_hgqv8kznjz,17.62,bottled teavana shaken strawberry green tea infusion lemonade
pro_yvofs108qy,10.45,bottled toasted white chocolate mocha
pro_di9u9dfni8,25.93,bottled vanilla bean coconutmilk latte
pro_kukrrwy1s0,17.58,bottled vanilla frappuccino coffee drink
pro_pgke1fu5lk,10.27,bottled vanilla latte
pro_77t819sdo9,8.46,bottled vanilla light frappuccino coffee drink
pro_zinxci7wyr,29.88,bottled vanilla sweet cream cold brew
pro_3qidk24ud9,23.19,bottled very berry hibiscus lemonade refreshers
pro_d9y19vouku,18.32,bottled very berry hibiscus refreshers beverage
pro_lnct8xybkl,19.16,bottled violet drink
pro_pwp73iwd1g,7.76,bottled white chocolate mocha
pro_ygu7hbutml,23.04,cacao protein blended cold brew
pro_ccbnc1h3ko,27.98,cacao protein blended cold brew frappuccino
pro_qj3pr3aa98,27.43,caffe americano
pro_ys6fy30rky,24.7,caffe americano frappuccino
pro_v2ywj4xyfz,21.32,caffe americano refresher
pro_wr6kd31ct1,11.68,caffe latte
pro_jt9mrx3pk1,13.62,caffe latte frappuccino
pro_bo60v3txax,25.79,caffe latte refresher
pro_aopeevk6os,22.92,caffe misto
pro_0sh00kkada,29.76,caffe misto frappuccino
pro_9g7igsprgy,7.13,caffe mocha
pro_4ww67is65l,13.7,caffe mocha frappuccino
pro_nmj61uu25o,26.99,caffe mocha refresher
pro_vyr9opmzjc,5.65,cappuccino
pro_jzqe9pvcgu,13.4,cappuccino frappuccino
pro_ykgvljspdf,29.36,cappuccino refresher
pro_fr80cf211z,18.67,caramel brule creme frappuccino
pro_tpxm5h9km2,12.71,caramel brule latte
pro_27sp40n2w1,28.25,caramel brule latte frappuccino
pro_jzwrdkmyg3,13.68,caramel brule latte refresher
pro_f5u2yjsd2q,8.34,caramel macchiato
pro_7ef8d0apyd,19.48,caramel macchiato frappuccino
pro_9krweqmd3o,22.86,caramel macchiato refresher
pro_hfdzyu2jtt,6.98,chestnut praline latte
pro_ygeg31q0rt,20.55,chestnut praline latte frappuccino
pro_bvrhkw4uzx,14.3,chestnut praline latte refresher
pro_99q7n0yhht,8.12,cinnamon dolce creme frappuccino
pro_r6bfgc84n9,20.89,cinnamon dolce latte
pro_tr17w5o2kp,11.73,cinnamon dolce latte frappuccino
pro_4edzj0ge87,9.24,cinnamon dolce latte refresher
pro_18eo611t1o,7.34,clover brewed coffee
pro_u8d0jnmb2a,15.03,clover brewed coffee frappuccino
pro_q1s6dzxgzp,20.52,coffee traveler
pro_nlka856e6b,29.39,coffee traveler frappuccino
pro_6xm6g8s77z,13.45,cold brew coffee
pro_fz8w0j9376,20.31,cold brew coffee frappuccino
pro_ia6gip3rxn,7.94,cold brew coffee refresher
pro_2sfekgjr6o,28.4,cold brew coffee with milk
pro_kr2c3mzske,23.52,cold brew coffee with milk frappuccino
pro_y2vy58qzc9,22.79,cold brew coffee with milk refresher
pro_64gtse5qh8,18.69,cold foam cascara nitro
pro_fd7a10uyx1,19.08,cold foam cascara nitro frappuccino
pro_bgk3sfpszo,16.17,cold foam cascara nitro refresher
pro_7netlg75ii,6.14,cold foam dark cocoa nitro
pro_slhlpchkrj,6.76,cold foam dark cocoa nitro frappuccino
pro_6owl1ca8a9,9.8,cordusio
pro_33jnxtt6le,9.7,cordusio frappuccino
pro_wp0in2n4gi,6.43,cordusio refresher
pro_ns7jpw4bvd,17.42,decaf pike place roast
pro_6v4l6tiw6s,17.72,decaf pike place roast frappuccino
pro_6eu5svr9y9,19.98,doubleshot coffee smoothie dark chocolate
pro_pzm5c9snu5,24.68,doubleshot coffee smoothie dark chocolate frappuccino
pro_xph2enxjek,28.4,doubleshot coffee smoothie vanilla honey
pro_627bxuhjkn,28.7,doubleshot coffee smoothie vanilla honey frappuccino
pro_eyz73q964r,27.49,doubleshot energy coffee drink
pro_lfkzh5we3d,23.54,doubleshot energy coffee drink frappuccino
pro_fvz22escnw,21.76,doubleshot energy hazelnut drink
pro_0mvko2oyui,7.94,doubleshot energy hazelnut drink frappuccino
pro_y1w23yt8ax,21.41,doubleshot energy mexican mocha
pro_2yss6w81cl,8.92,doubleshot energy mexican mocha frappuccino
pro_h7fbuk6mol,23.64,doubleshot energy mocha drink
pro_wry2ts9n73,9.05,doubleshot energy mocha drink frappuccino
pro_jhbvxfe335,22.04,doubleshot energy vanilla drink
pro_clzl7ihvix,6.81,doubleshot energy vanilla drink frappuccino
pro_llrq4i5s9c,12.84,doubleshot energy white chocolate drink
pro_x9ztn5hkf5,14.35,doubleshot energy white chocolate drink frappuccino
pro_6q78vb5wm1,12.84,doubleshot espresso cubano
pro_pmxd5zopa1,12.77,doubleshot espresso cubano frappuccino
pro_qp4pdx087u,18.31,doubleshot espresso drink
pro_mig2wrxexu,25.59,doubleshot espresso drink frappuccino
pro_26jur396me,26.83,doubleshot espresso salted caramel cream
pro_ftllmet3qu,6.84,doubleshot espresso salted caramel cream frappuccino
pro_dvg90nosr6,9.81,doubleshot light espresso drink
pro_iptw9flvpx,12.73,doubleshot light espresso drink frappuccino
pro_xj3mjzesqa,22.09,doubleshot on ice beverage
pro_5akqvnwrs0,15.06,doubleshot on ice beverage frappuccino
pro_rqz37pqj33,16.92,doubleshot on ice beverage refresher
pro_zgeuh25xc6,24.61,doubleshot protein caramel
pro_dk1hbf59sr,21.05,doubleshot protein caramel frappuccino
pro_8yqbv6tl78,19.69,doubleshot protein dark chocolate
pro_b1sknxbgi6,19.5,doubleshot protein dark chocolate frappuccino
pro_0d6hilkpbc,9.98,doubleshot protein vanilla
pro_8i9gzlp4xa,7.77,doubleshot protein vanilla frappuccino
pro_z0e0uolkyd,13.17,eggnog creme frappuccino
pro_v0yxiv0xaa,24.21,eggnog latte
pro_n2t6tq3mvi,26.33,eggnog latte frappuccino
pro_1ww5q1u3sw,24.94,eggnog latte refresher
pro_fsdwe6l92n,8.95,espresso
pro_gtn7we6jjk,27.97,espresso con panna
pro_s8o0emwp9j,14.69,espresso con panna frappuccino
pro_5chashwa3d,25.94,espresso con panna refresher
pro_uut1y6o6cp,20.65,espresso frappuccino
pro_z2u45hgg1s,24.83,espresso macchiato
pro_0t94bu74je,5.76,espresso macchiato frappuccino
pro_93wit8fbre,15.87,espresso macchiato refresher
pro_nsj5y6a80j,20.16,espresso refresher
pro_7eo6xwan1k,14.25,evolution fresh orange
pro_iugg02kel0,24.73,evolution fresh orange frappuccino
pro_ah6b6d8veh,23.09,evolution fresh orange refresher
pro_87tr0sitgp,14.75,evolution fresh organic defense up
pro_nigu3n60mb,15.97,evolution fresh organic defense up frappuccino
pro_2gmosijcqj,17.29,evolution fresh organic defense up refresher
pro_yatwp8nld9,18.63,evolution fresh organic green devotion
pro_9uawpnmbmg,12.46,evolution fresh organic green devotion frappuccino
pro_nsfnzlxvu3,10.73,evolution fresh organic green devotion refresher
pro_d2kpydj7pd,7.82,evolution fresh organic strawberry lemonade
pro_rs5msi5x9z,8.51,evolution fresh organic strawberry lemonade frappuccino
pro_d3664olkwm,16.69,evolution fresh organic strawberry lemonade refresher
pro_709jvw7ibt,21.61,evolution fresh organic super fruit greens
pro_h1tgi55200,21.65,evolution fresh organic super fruit greens frappuccino
pro_o5bokic57d,16.41,evolution fresh organic super fruit greens refresher
pro_2okjokjpwk,20.47,evolution fresh watermelon
pro_enwu4mxsdg,28.98,evolution fresh watermelon frappuccino
pro_rylqhc4895,29.56,evolution fresh watermelon refresher
pro_qjwcm7w14z,26.12,featured dark roast
pro_hukcgd2iic,27.86,featured dark roast frappuccino
pro_q9jwrezqrp,8.4,flat white
pro_dspu9b2kyw,11.97,flat white frappuccino
pro_nlkdjm2u7h,28.85,flat white refresher
pro_7h2tq1f4g5,8.26,foam cascara cold brew
pro_4ab4nxmtkc,26.87,foam cascara cold brew frappuccino
pro_i7jofk823o,15.98,foam cascara cold brew refresher
pro_bwmzuuegxo,29.37,foam cold brew
pro_dwyombiwme,22.91,foam cold brew frappuccino
pro_qsv5vop68q,13.43,galvanina sparkling water
pro_2kq1wsbywv,7.95,galvanina sparkling water frappuccino
pro_esn1hr8cpf,10.97,galvanina sparkling water lime
pro_ya46lvd25v,22.61,galvanina sparkling water lime frappuccino
pro_hp8jt8kvkj,13.03,gingerbread creme frappuccino
pro_nqqi201vmp,28.73,gingerbread latte
pro_dgnegjrcmm,18.37,gingerbread latte frappuccino
pro_1psxq0rh7y,18.12,gingerbread latte refresher
pro_fzri2890gz,25.18,hot chocolate frappuccino
pro_hr2z2vpcwl,24.93,iced black and white mocha
pro_68nxzjewrk,22.18,iced black and white mocha frappuccino
pro_h6focmqzk8,28.8,iced black and white mocha refresher
pro_f148tsmdfj,19.49,iced blonde black and white mocha
pro_e4843oltqg,27.51,iced blonde black and white mocha frappuccino
pro_h2t5jmrz9l,16.76,iced blonde black and white mocha refresher
pro_icsx0jlra9,24.05,iced blonde caffe americano
pro_welpepcqk8,10.85,iced blonde caffe americano frappuccino
pro_9slb013j8s,26.26,iced blonde caffe americano refresher
pro_rcrun8v8ip,13.82,iced blonde caffe latte
pro_sc3xaj4vwv,23.15,iced blonde caffe latte frappuccino
pro_aezq747nl9,13.06,iced blonde caffe latte refresher
pro_ocijebzffe,28.83,iced blonde cappuccino
pro_1sxzop42vs,9.77,iced blonde caramel brule latte
pro_f89oqhmpex,18.18,iced blonde caramel brule latte frappuccino
pro_zschz424st,14.86,iced blonde caramel brule latte refresher
pro_v2kairael1,18.37,iced blonde chestnut praline latte
pro_x3suwcin4f,10.77,iced blonde chestnut praline latte frappuccino
pro_akurxf7hq4,17.59,iced blonde chestnut praline latte refresher
pro_33b2pefrm8,8.3,iced blonde cold foam cappuccino
pro_dh6kgysc9a,10.78,iced blonde cold foam cappuccino frappuccino
pro_8k1gnuf96g,21.8,iced blonde cold foam cappuccino refresher
pro_40waz98ctu,16.72,iced blonde doubleshot on ice
pro_33zfwg2tkf,17.42,iced blonde eggnog latte
pro_t03p6o5u8a,28.29,iced blonde eggnog latte frappuccino
pro_z90qovzi6k,10.38,iced blonde eggnog latte refresher
pro_subkdhiaye,18.79,iced blonde flat white
pro_n7i7q88z7f,18.29,iced blonde flat white frappuccino
pro_elnj3kl0a1,16.13,iced blonde flat white refresher
pro_tx0j07wpx0,25.75,iced blonde gingerbread latte
pro_l767k61k43,19.17,iced blonde gingerbread latte frappuccino
pro_vhcsvcvm6o,25.51,iced blonde gingerbread latte refresher
pro_ek73ca2v35,26.5,iced blonde juniper latte
pro_7khon2itok,6.78,iced blonde juniper latte frappuccino
pro_742ykbhbbh,28.45,iced blonde juniper latte refresher
pro_46xyazuw9c,24.08,iced blonde peppermint mocha
pro_e201nfnsa2,17.11,iced blonde peppermint mocha frappuccino
pro_gtjfmmh4qv,25.5,iced blonde peppermint mocha refresher
pro_reiqfe4crs,10.75,iced blonde peppermint white chocolate mocha
pro_nsrd9cnto1,25.49,iced blonde peppermint white chocolate mocha frappuccino
pro_l9c9enqhmh,18.91,iced blonde peppermint white chocolate mocha refresher
pro_mqyk72lbgl,16.11,iced blonde toasted white chocolate mocha
pro_p4toniqsw4,19.27,iced blonde toasted white chocolate mocha frappuccino
pro_7s91ayosu7,22.91,iced blonde toasted white chocolate mocha refresher
pro_rfkxei3klt,11.93,iced blonde vanilla bean coconutmilk latte
pro_a5pjiu8610,7.44,iced blonde vanilla bean coconutmilk latte frappuccino
pro_szjya13d8d,27.67,iced blonde vanilla bean coconutmilk latte refresher
pro_eds1wb1k3v,28.76,iced blonde vanilla latte
pro_qx9vmzsys4,20.62,iced blonde vanilla latte frappuccino
pro_qzhlzp6qed,17.77,iced blonde vanilla latte refresher
pro_cahsz9aq91,6.35,iced caffe americano
pro_nv9krd5o43,15.39,iced caffe americano frappuccino
pro_nnuqct837f,13.51,iced caffe americano refresher
pro_5i6c05ixaq,14.58,iced caffe latte
pro_piypp0fe9x,22.98,iced caffe latte frappuccino
pro_xred8ve8fm,14.03,iced caffe latte refresher
pro_d67iotoajj,24.78,iced caffe mocha
pro_eqmdto8w4o,29.77,iced caffe mocha frappuccino
pro_o11ly5e441,18.66,iced caffe mocha refresher
pro_m219m9sqno,11.94,iced cappuccino
pro_4tc3hxu1wh,28.95,iced caramel brule latte
pro_int4ls9xhv,23.29,iced caramel brule latte frappuccino
pro_11t8w0fr58,10.62,iced caramel brule latte refresher
pro_syiafrpkrv,29.86,iced caramel macchiato
pro_mi6f247rsp,5.26,iced caramel macchiato frappuccino
pro_tndpx67mry,19.4,iced caramel macchiato refresher
pro_5619pbbmjd,22.11,iced chestnut praline latte
pro_2n412j0acl,9.56,iced chestnut praline latte frappuccino
pro_z1s7v421cw,6.28,iced chestnut praline latte refresher
pro_yvmvw7suhi,5.18,iced cinnamon dolce latte
pro_ylr0se4kjl,28.15,iced cinnamon dolce latte frappuccino
pro_g71pu1rz5j,19.57,iced cinnamon dolce latte refresher
pro_a1a9wnh9gj,9.28,iced coffee
pro_2qul0am2ie,20.39,iced coffee caramel
pro_99nxrm6lu4,5.06,iced coffee caramel frappuccino
pro_57m233ifdo,14.34,iced coffee frappuccino
pro_k419j3oal3,24.2,iced coffee light sweetened
pro_eyxw40slwr,7.49,iced coffee light sweetened frappuccino
pro_lusqifthrv,20.09,iced coffee refresher
pro_ruta3vi2r1,12.89,iced coffee unsweetened
pro_ifvbg55xh4,7.46,iced coffee unsweetened frappuccino
pro_thg27vfl1z,25.62,iced coffee with milk
pro_i01575j8rx,18.71,iced coffee with milk frappuccino
pro_x303d0cfgu,24.78,iced coffee with milk refresher
pro_gbico8uqfo,29.21,iced cold brew coffee
pro_l6jf6mbrq7,9.59,iced cold brew coffee with milk
pro_h2fo43tztx,8.42,iced cold foam cappuccino
pro_pd7ccals8e,29.52,iced cold foam cappuccino frappuccino
pro_jj98y49sgi,10.83,iced cold foam cappuccino refresher
pro_ywmk8x7oks,15.67,iced cold foam cascara nitro
pro_1ng5av6l26,25.91,iced cordusio
pro_6vf4tp6k71,10.76,iced cordusio frappuccino
pro_fav6r2baf0,22.79,iced cordusio refresher
pro_on5kes0a64,24.67,iced doubleshot on ice beverage
pro_2a0g42cbi3,17.41,iced eggnog latte
pro_ntnv0ozo4k,17.19,iced eggnog latte frappuccino
pro_nd8595n7cw,10.72,iced eggnog latte refresher
pro_9va9nqo0qb,20.65,iced espresso
pro_yhj198pqav,10.02,iced espresso classics caffe mocha
pro_d0uk4dw9xk,11.57,iced espresso classics caffe mocha frappuccino
pro_lj93og5gf3,19.91,iced espresso classics caffe mocha refresher
pro_o7f0dopouw,11.94,iced espresso classics caramel macchiato
pro_yi5e2uagfs,16.6,iced espresso classics caramel macchiato frappuccino
pro_nfi5hvh7ij,28.76,iced espresso classics caramel macchiato refresher
pro_vm8hm82j3f,19.87,iced espresso classics skinny caramel macchiato
pro_2egkt0o2l6,23.77,iced espresso classics skinny caramel macchiato frappuccino
pro_86o94ybrzn,22.57,iced espresso classics skinny vanilla latte
pro_gzok3bzm5u,28.82,iced espresso classics skinny vanilla latte frappuccino
pro_novihjpi3a,7.67,iced espresso classics vanilla latte
pro_k7hf6kj0qy,9.59,iced espresso classics vanilla latte frappuccino
pro_frcqop9tbc,22.14,iced espresso classics vanilla latte refresher
pro_3itlmc0r7k,26.16,iced espresso con panna
pro_ltgpsn19gi,23.66,iced espresso macchiato
pro_7xq4o1oqxm,8.69,iced evolution fresh orange
pro_uyscxua4g5,22.0,iced evolution fresh organic defense up
pro_9caljgy00f,20.7,iced evolution fresh organic green devotion
pro_tvz5wa9uns,18.42,iced evolution fresh organic strawberry lemonade
pro_yi2b44nw4p,19.1,iced evolution fresh organic super fruit greens
pro_hlan1av1mh,20.18,iced evolution fresh watermelon
pro_gc0sua3tmd,9.53,iced flat white
pro_1zcgerbmm6,13.31,iced foam cascara cold brew
pro_6phl85bgg8,20.31,iced gingerbread latte
pro_offl7d78gk,6.99,iced gingerbread latte frappuccino
pro_6hgwci2grt,22.75,iced gingerbread latte refresher
pro_4twvvomkt0,23.64,iced juniper latte
pro_zr1bldjp6b,8.6,iced juniper latte frappuccino
pro_wn16x10mb2,12.1,iced juniper latte refresher
pro_qrnzdfpuhg,10.78,iced latte macchiato
pro_ngkty5sujc,10.25,iced latte macchiato frappuccino
pro_4auyn93uv4,14.17,iced latte macchiato refresher
pro_cr5ltw2p95,23.86,iced mango dragonfruit lemonade refreshers beverage
pro_a0rd2hxj1c,15.17,iced mango dragonfruit refreshers beverage
pro_cw0xhhq6jk,18.37,iced nitro cold brew
pro_z6h2nt7kha,8.07,iced nitro cold brew with sweet cream
pro_0ot3vmwvco,20.36,iced nitro lemon fog
pro_movlq5jrs0,29.98,iced peppermint mocha
pro_hr3yarnmyh,23.23,iced peppermint mocha frappuccino
pro_sc2pgunx36,17.12,iced peppermint mocha refresher
pro_vjko3n5zue,16.78,iced peppermint white chocolate mocha
pro_l2uyp4t4k5,28.06,iced peppermint white chocolate mocha frappuccino
pro_hwhb098wm4,15.2,iced peppermint white chocolate mocha refresher
pro_3ftz9svlce,23.16,iced pink drink
pro_ewng8nqgt7,20.25,iced pumpkin spice chai latte
pro_3mf0rx5z7u,20.67,iced pumpkin spice chai latte frappuccino
pro_1erh7vwi0n,7.09,iced pumpkin spice chai latte refresher
pro_tzgxigdkd1,21.64,iced pumpkin spice chai tea latte
pro_0qfqla2zh3,21.05,iced pumpkin spice latte
pro_3dxzh4r76i,23.54,iced pumpkin spice latte frappuccino
pro_tbun3q6khd,21.94,iced pumpkin spice latte refresher
pro_kudm4dpv3p,27.0,iced salted caramel mocha
pro_dywb5cuhd0,29.94,iced salted caramel mocha frappuccino
pro_9ihncj6r03,9.77,iced salted caramel mocha refresher
pro_jngk4zvfto,27.21,iced shaken sweet tea
